Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
"Good Boy, Bad Boy",278,69,28,2007,3.7,270000000,2,305000000,0,0,1,0,0,0,0,0,0,0,2,0,0
Lootera,39,195,522,2013,7.3,270000000,2,461400000,0,0,0,0,1,0,0,1,0,1,2,0,2
Mardaani 2,12,136,416,2019,7.4,270000000,2,671200000,1,0,0,1,1,0,0,0,0,1,3,0,2
Hisss,20,56,326,2010,2.8,280000000,2,75582500,0,0,1,0,1,0,1,0,0,0,1,0,0
Jazbaa,248,56,290,2015,5.8,280000000,2,429692500,1,0,0,1,1,0,0,0,0,0,2,0,0
Force,181,150,531,2011,6.4,280000000,2,390320000,1,0,0,0,0,0,0,0,1,0,2,0,0
Ta Ra Rum Pum,336,121,416,2007,5.6,280000000,2,700000000,0,0,0,0,0,0,0,1,0,0,3,0,0
Partner,40,79,437,2007,5.7,280000000,2,1009115000,0,0,1,0,1,0,0,1,0,0,4,1,1
Rang De Basanti,6,189,508,2006,8.2,280000000,2,970000000,0,0,1,0,1,0,0,0,0,1,4,1,3
Kal ho naa ho,323,176,190,2003,8,280000000,2,860875000,0,0,1,0,1,0,0,1,0,1,4,1,3
New York,344,150,390,2009,6.8,280000000,2,783367500,0,0,0,1,1,0,0,0,1,1,4,1,3
Sachin - A Billion Dreams,184,169,428,2017,8.6,280814554,2,1204102200,0,0,0,0,0,0,0,0,0,1,5,1,3
Dil Toh Baccha Hai Ji,261,53,28,2011,5.7,285000000,2,408000000,0,0,1,0,1,0,0,1,0,0,2,0,0
Tumbbad,222,29,359,2018,8.3,288503479,2,1158884203,0,0,0,0,1,1,1,0,0,1,5,1,3
Jabariya Jodi,19,200,204,2019,4.2,290000000,2,211300000,1,0,1,0,1,0,0,0,0,0,1,0,0
Gulaab Gang,21,219,302,2014,6.1,290000000,2,165000000,1,0,0,0,1,0,0,0,0,0,1,0,0
Ajab Gazabb Love,267,51,465,2012,4.2,290000000,2,102090000,0,0,1,0,0,0,0,1,0,0,1,0,0
Ghanchakkar,113,28,32,2013,5.8,290000000,2,380000000,0,0,1,1,0,0,0,0,1,0,2,0,0
Finding Fanny,276,138,391,2014,5.8,290000000,2,506100000,0,1,1,0,1,0,0,0,0,0,3,0,0
Yamla Pagla Deewana,195,18,432,2011,5.6,290000000,2,986500000,1,0,1,0,1,0,0,0,0,0,4,1,1
